assists,gameDate,gameId,gamesPlayed,gamesStarted,goals,goalsAgainst,goalsAgainstAverage,losses,opponentTeamAbbrev,otLosses,penaltyMinutes,playerBirthCountry,playerBirthDate,playerBirthStateProvince,playerDraftOverallPickNo,playerDraftRoundNo,playerDraftYear,playerFirstName,playerHeight,playerId,playerInHockeyHof,playerIsActive,playerLastName,playerName,playerNationality,playerPositionCode,playerShootsCatches,playerWeight,points,savePctg,saves,shotsAgainst,shutouts,teamAbbrev,ties,timeOnIce,wins
0,2018-04-04T23:30:00Z,2017021238,1,1,0,3,3.0734,1,OTT,0,0,CAN,1986-06-10,SK,125,5,2006,Chad,75,8473434,0,1,Johnson,Chad Johnson,CAN,G,L,197,0,0.9032,28,31,0,BUF,0,3514,0
0,2018-04-04T23:30:00Z,2017021238,1,1,0,2,2.0,0,BUF,0,0,USA,1981-05-21,IL,73,3,2001,Craig,74,8467950,0,1,Anderson,Craig Anderson,USA,G,L,185,0,0.9411,32,34,0,OTT,0,3600,1
0,2018-04-04T23:00:00Z,2017021239,1,1,0,4,4.01,1,CHI,0,0,CAN,1990-08-07,NB,34,2,2008,Jake,74,8474596,0,1,Allen,Jake Allen,CAN,G,L,203,0,0.8461,22,26,0,STL,0,3591,0
0,2018-04-04T23:00:00Z,2017021240,1,1,0,1,1.0,0,MIN,0,0,USA,1980-07-17,MI,138,5,1999,Ryan,75,8468011,0,1,Miller,Ryan Miller,USA,G,L,173,0,0.9629,26,27,0,ANA,0,3600,1
0,2018-04-04T23:00:00Z,2017021239,1,1,0,3,3.0,0,STL,0,0,CAN,1991-07-13,QC,95,4,2009,J-F,73,8475234,0,1,Berube,J-F Berube,CAN,G,L,177,0,0.9117,31,34,0,CHI,0,3600,1
0,2018-04-04T23:00:00Z,2017021240,1,1,0,2,2.0055,1,ANA,0,0,CAN,1986-05-04,SK,14,1,2004,Devan,78,8471227,0,1,Dubnyk,Devan Dubnyk,CAN,G,L,218,0,0.931,27,29,0,MIN,0,3590,0
0,2018-04-03T23:30:00Z,2017021234,1,1,0,2,2.0618,1,FLA,0,0,FIN,1982-11-03,,258,8,2004,Pekka,77,8471469,0,1,Rinne,Pekka Rinne,FIN,G,L,217,0,0.9393,31,33,0,NSH,0,3492,0
0,2018-04-03T23:30:00Z,2017021237,1,1,0,2,7.5471,0,SJS,0,0,FIN,1983-11-16,,2,1,2002,Kari,76,8470140,0,1,Lehtonen,Kari Lehtonen,FIN,G,L,209,0,0.8571,12,14,0,DAL,0,954,0
0,2018-04-03T23:30:00Z,2017021232,1,1,0,4,3.8095,0,MTL,0,0,CAN,1988-05-29,ON,69,3,2006,Steve,76,8473461,0,1,Mason,Steve Mason,CAN,G,R,210,0,0.9,36,40,0,WPG,0,3780,1
0,2018-04-03T23:30:00Z,2017021237,1,0,0,0,0.0,0,SJS,0,0,USA,1983-04-11,MO,172,6,2002,Mike,74,8470093,0,1,McKenna,Mike McKenna,USA,G,R,183,0,1.0,17,17,0,DAL,0,2646,1
0,2018-04-03T23:30:00Z,2017021233,1,1,0,4,4.0,1,TBL,0,0,FIN,1987-03-10,,21,1,2005,Tuukka,75,8471695,0,1,Rask,Tuukka Rask,FIN,G,L,176,0,0.8888,32,36,0,BOS,0,3600,0
0,2018-04-03T23:30:00Z,2017021232,1,1,0,5,4.7796,0,WPG,1,0,CAN,1987-08-16,BC,5,1,2005,Carey,75,8471679,0,1,Price,Carey Price,CAN,G,L,215,0,0.8437,27,32,0,MTL,0,3766,0
0,2018-04-03T23:30:00Z,2017021234,1,1,0,1,1.0,0,NSH,0,0,CAN,1979-04-04,QC,4,1,1997,Roberto,75,8466141,0,1,Luongo,Roberto Luongo,CAN,G,L,217,0,0.9782,45,46,0,FLA,0,3600,1
0,2018-04-03T23:30:00Z,2017021233,1,1,0,0,0.0,0,BOS,0,0,RUS,1994-07-25,,19,1,2012,Andrei,75,8476883,0,1,Vasilevskiy,Andrei Vasilevskiy,RUS,G,L,207,0,1.0,33,33,1,TBL,0,3581,1
0,2018-04-03T23:30:00Z,2017021237,1,1,0,3,3.0577,1,DAL,0,0,CAN,1990-01-10,BC,,,,Martin,76,8474889,0,1,Jones,Martin Jones,CAN,G,L,195,0,0.8636,19,22,0,SJS,0,3532,0
0,2018-04-03T23:00:00Z,2017021231,1,1,0,5,4.7682,0,CBJ,1,0,USA,1984-03-26,NY,64,2,2003,Jimmy,73,8470657,0,1,Howard,Jimmy Howard,USA,G,L,218,0,0.878,36,41,0,DET,0,3775,0
0,2018-04-03T23:00:00Z,2017021229,1,1,0,2,2.0117,0,NYR,0,0,USA,1989-07-04,NY,,,,Keith,75,8476234,0,1,Kinkaid,Keith Kinkaid,USA,G,L,195,0,0.9166,22,24,0,NJD,0,3579,1
0,2018-04-03T23:00:00Z,2017021230,1,1,0,4,4.0597,0,PHI,0,0,DEU,1986-01-29,,94,3,2004,Thomas,73,8471306,0,1,Greiss,Thomas Greiss,DEU,G,L,227,0,0.8709,27,31,0,NYI,0,3547,1
0,2018-04-03T23:00:00Z,2017021236,1,1,0,4,3.6923,0,VAN,0,0,CAN,1993-12-21,ON,24,1,2012,Malcolm,74,8476876,0,1,Subban,Malcolm Subban,CAN,G,L,200,0,0.84,21,25,0,VGK,0,3900,1
0,2018-04-03T23:00:00Z,2017021229,1,1,0,5,5.0027,1,NJD,0,0,SWE,1982-03-02,,205,7,2000,Henrik,73,8468685,0,1,Lundqvist,Henrik Lundqvist,SWE,G,L,180,0,0.8863,39,44,0,NYR,0,3598,0
0,2018-04-03T23:00:00Z,2017021230,1,1,0,5,5.1428,1,NYI,0,0,CZE,1992-02-14,,141,5,2010,Petr,74,8475852,0,1,Mrazek,Petr Mrazek,CZE,G,L,181,0,0.8648,32,37,0,PHI,0,3500,0
0,2018-04-03T23:00:00Z,2017021235,1,1,0,1,1.0084,0,CGY,0,0,FIN,1989-05-12,,,,,Antti,72,8477293,0,1,Raanta,Antti Raanta,FIN,G,L,195,0,0.9767,42,43,0,ARI,0,3570,1
1,2018-04-03T23:00:00Z,2017021231,1,1,0,4,3.8206,0,DET,0,0,RUS,1988-09-20,,,,,Sergei,74,8475683,0,1,Bobrovsky,Sergei Bobrovsky,RUS,G,L,182,1,0.8518,23,27,0,CBJ,0,3769,1
0,2018-04-03T23:00:00Z,2017021235,1,1,0,4,4.0,1,ARI,0,0,USA,1994-01-22,NH,75,3,2012,Jon,78,8476903,0,1,Gillies,Jon Gillies,USA,G,L,223,0,0.8095,17,21,0,CGY,0,3600,0
0,2018-04-03T23:00:00Z,2017021236,1,1,0,4,3.6923,0,VGK,1,0,SWE,1990-01-31,,31,2,2008,Jacob,78,8474593,0,1,Markstrom,Jacob Markstrom,SWE,G,L,196,0,0.8974,35,39,0,VAN,0,3900,0
0,2018-04-02T23:30:00Z,2017021225,1,1,0,3,3.1259,1,FLA,0,2,USA,1988-12-22,VA,153,6,2007,Scott,78,8474152,0,1,Darling,Scott Darling,USA,G,L,232,0,0.9142,32,35,0,CAR,0,3455,0
0,2018-04-02T23:30:00Z,2017021224,1,1,0,5,5.0,0,OTT,0,0,USA,1993-05-19,MI,130,5,2012,Connor,76,8476945,0,1,Hellebuyck,Connor Hellebuyck,USA,G,L,207,0,0.8648,32,37,0,WPG,0,3600,1
0,2018-04-02T23:30:00Z,2017021228,1,1,0,1,1.0,0,COL,0,0,USA,1986-01-21,CT,72,3,2005,Jonathan,73,8471734,0,1,Quick,Jonathan Quick,USA,G,L,218,0,0.9642,27,28,0,LAK,0,3600,1
0,2018-04-02T23:30:00Z,2017021228,1,1,0,3,3.1322,1,LAK,0,0,CAN,1988-08-07,QC,11,1,2006,Jonathan,72,8473541,0,1,Bernier,Jonathan Bernier,CAN,G,L,184,0,0.88,22,25,0,COL,0,3448,0
0,2018-04-02T23:30:00Z,2017021225,1,1,0,2,2.0,0,CAR,0,0,CAN,1979-04-04,QC,4,1,1997,Roberto,75,8466141,0,1,Luongo,Roberto Luongo,CAN,G,L,217,0,0.931,27,29,0,FLA,0,3600,1
0,2018-04-02T23:30:00Z,2017021224,1,1,0,6,6.1346,1,WPG,0,0,USA,1981-05-21,IL,73,3,2001,Craig,74,8467950,0,1,Anderson,Craig Anderson,USA,G,L,185,0,0.85,34,40,0,OTT,0,3521,0
0,2018-04-02T23:00:00Z,2017021226,1,1,0,2,2.027,0,STL,0,0,CAN,1989-09-16,SK,93,4,2008,Braden,74,8474651,0,1,Holtby,Braden Holtby,CAN,G,L,211,0,0.9444,34,36,0,WSH,0,3552,1
0,2018-04-02T23:00:00Z,2017021227,1,1,0,2,2.0408,1,MIN,0,0,CAN,1987-07-05,ON,,,,Cam,76,8475660,0,1,Talbot,Cam Talbot,CAN,G,L,200,0,0.9487,37,39,0,EDM,0,3528,0
0,2018-04-02T23:00:00Z,2017021223,1,1,0,2,2.0,0,BUF,0,0,CAN,1983-05-23,ON,176,6,2002,Curtis,74,8470147,0,1,McElhinney,Curtis McElhinney,CAN,G,L,200,0,0.9411,32,34,0,TOR,0,3600,1
0,2018-04-02T23:00:00Z,2017021223,1,1,0,5,5.0125,1,TOR,0,0,CAN,1986-06-10,SK,125,5,2006,Chad,75,8473434,0,1,Johnson,Chad Johnson,CAN,G,L,197,0,0.8611,31,36,0,BUF,0,3591,0
