faceoffWinPctg,faceoffsLost,faceoffsWon,gameDate,gameId,gameLocationCode,gamesPlayed,goalsAgainst,goalsFor,losses,opponentTeamAbbrev,otLosses,penaltyKillPctg,points,ppGoalsAgainst,ppGoalsFor,ppOpportunities,ppPctg,shNumTimes,shootoutGamesLost,shootoutGamesWon,shotsAgainst,shotsFor,teamAbbrev,teamId,ties,wins
0.5223,32,35,2018-03-07T00:00:00Z,2017021021,H,1,4,6,0,MTL,0,1.0,2,0,3,5,0.6,2,0,0,33,33,NJD,1,0,1
0.6129,24,38,2017-12-23T18:00:00Z,2017020543,H,1,1,3,0,DET,0,1.0,2,0,1,2,0.5,2,0,0,31,26,BOS,6,0,1
0.5,27,27,2018-03-08T01:00:00Z,2017021030,R,1,2,5,0,PHI,0,1.0,2,0,1,4,0.25,5,0,0,28,28,PIT,5,0,1
0.3787,41,25,2018-03-31T23:00:00Z,2017021212,R,1,1,2,0,CAR,0,1.0,2,0,0,1,0.0,3,0,0,41,20,NYR,3,0,1
0.3898,36,23,2018-01-23T00:00:00Z,2017020727,R,1,0,3,0,NJD,0,1.0,2,0,0,2,0.0,5,0,0,37,30,DET,17,0,1
0.4687,34,30,2018-01-13T18:00:00Z,2017020670,R,1,2,7,0,NYR,0,0.6666,2,1,0,2,0.0,3,0,0,39,37,NYI,2,0,1
0.4655,31,27,2018-03-22T23:00:00Z,2017021139,H,1,0,4,0,FLA,0,1.0,2,0,1,3,0.3333,4,0,0,33,33,CBJ,29,0,1
0.5074,33,34,2017-11-26T18:00:00Z,2017020359,H,1,3,3,0,NSH,0,0.5,2,1,1,4,0.25,2,0,1,35,36,CAR,12,0,1
0.5535,25,31,2017-12-31T00:00:00Z,2017020589,H,1,2,5,0,NJD,0,1.0,2,0,1,2,0.5,2,0,0,27,35,WSH,15,0,1
0.509,27,28,2017-10-21T23:00:00Z,2017020115,H,1,3,5,0,SJS,0,0.75,2,1,0,2,0.0,4,0,0,31,23,NYI,2,0,1
0.5535,25,31,2018-03-20T23:00:00Z,2017021122,R,1,3,5,0,NYR,0,0.5,2,2,0,2,0.0,4,0,0,32,31,CBJ,29,0,1
0.54,23,27,2018-02-21T00:00:00Z,2017020921,R,1,2,4,0,WSH,0,0.5,2,1,1,2,0.5,2,0,0,37,19,TBL,14,0,1
0.4264,39,29,2018-01-19T00:00:00Z,2017020703,H,1,3,5,0,SJS,0,1.0,2,0,1,4,0.25,7,0,0,48,22,COL,21,0,1
0.5535,25,31,2018-03-07T00:00:00Z,2017021022,R,1,0,3,0,NYR,0,1.0,2,0,0,0,0.0,1,0,0,31,34,WPG,52,0,1
0.5344,27,31,2017-10-30T23:00:00Z,2017020170,H,1,3,6,0,VGK,0,0.6,2,2,2,5,0.4,5,0,0,34,30,NYI,2,0,1
0.4516,34,28,2018-01-17T00:00:00Z,2017020691,H,1,0,1,0,VGK,0,1.0,2,0,0,2,0.0,4,0,0,43,27,NSH,18,0,1
0.5471,24,29,2017-11-26T01:00:00Z,2017020356,R,1,2,3,0,COL,0,0.6666,2,1,1,4,0.25,3,0,0,26,28,CGY,20,0,1
0.55,27,33,2017-10-20T23:30:00Z,2017020106,R,1,3,4,0,DET,0,0.8,2,1,2,5,0.4,5,0,0,37,41,WSH,15,0,1
0.5507,31,38,2017-11-17T00:00:00Z,2017020278,H,1,0,1,0,NJD,0,1.0,2,0,0,2,0.0,3,0,0,42,25,TOR,10,0,1
0.5573,27,34,2017-11-08T00:00:00Z,2017020228,R,1,1,3,0,CBJ,0,1.0,2,0,0,4,0.0,4,0,0,36,29,NSH,18,0,1
0.4266,43,32,2017-10-12T23:00:00Z,2017020056,R,1,2,4,0,ARI,0,0.8333,2,1,1,3,0.3333,6,0,0,35,33,DET,17,0,1
0.4179,39,28,2017-10-27T23:00:00Z,2017020150,H,1,4,4,0,OTT,0,1.0,2,0,1,3,0.3333,2,0,1,27,25,NJD,1,0,1
0.4415,43,34,2017-10-11T23:30:00Z,2017020046,R,1,3,6,0,TOR,0,0.75,2,2,1,5,0.2,8,0,0,50,31,NJD,1,0,1
0.5396,29,34,2017-10-23T23:00:00Z,2017020123,H,1,2,3,0,LAK,0,1.0,2,0,1,6,0.1666,2,0,0,38,34,TOR,10,0,1
0.6111,21,33,2018-04-07T22:00:00Z,2017021264,H,1,1,4,0,CHI,0,1.0,2,0,1,4,0.25,1,0,0,31,39,WPG,52,0,1
0.4696,35,31,2017-12-15T00:00:00Z,2017020481,H,1,4,6,0,NYI,0,0.75,2,1,1,2,0.5,4,0,0,25,35,CBJ,29,0,1
0.3965,35,23,2018-04-08T23:30:00Z,2017020616,R,1,2,4,0,BOS,0,0.75,2,1,0,3,0.0,4,0,0,43,26,FLA,13,0,1
0.4464,31,25,2018-01-06T00:30:00Z,2017020632,R,1,4,5,0,CHI,0,1.0,2,0,0,2,0.0,2,0,0,32,43,VGK,54,0,1
0.4776,35,32,2018-01-13T00:30:00Z,2017020666,R,1,2,4,0,FLA,0,0.75,2,1,1,3,0.3333,4,0,0,43,29,CGY,20,0,1
0.5937,26,38,2017-11-23T00:00:00Z,2017020329,H,1,2,2,0,MTL,0,1.0,2,0,2,4,0.5,4,0,1,29,33,NSH,18,0,1
0.3454,36,19,2017-11-08T00:00:00Z,2017020225,R,1,1,2,0,NYI,0,1.0,2,0,0,2,0.0,3,0,0,37,25,EDM,22,0,1
0.5322,29,33,2017-12-02T23:00:00Z,2017020405,H,1,0,5,0,NJD,0,1.0,2,0,0,2,0.0,3,0,0,27,27,ARI,53,0,1
0.5245,29,32,2017-11-12T00:00:00Z,2017020260,H,1,0,5,0,VAN,0,1.0,2,0,0,4,0.0,5,0,0,41,31,SJS,28,0,1
0.6226,20,33,2018-03-10T18:00:00Z,2017021054,R,1,0,2,0,SJS,0,1.0,2,0,0,0,0.0,2,0,0,24,26,WSH,15,0,1
0.6,24,36,2018-01-18T00:00:00Z,2017020694,H,1,3,5,0,PIT,0,0.5,2,2,0,2,0.0,4,0,0,33,33,ANA,24,0,1
0.5833,25,35,2017-10-27T19:00:00Z,2017020149,H,1,0,7,0,COL,0,1.0,2,0,1,5,0.2,3,0,0,32,21,VGK,54,0,1
0.5769,22,30,2017-11-16T00:30:00Z,2017020275,H,1,2,8,0,CGY,0,0.8,2,1,4,6,0.6666,5,0,0,28,27,DET,17,0,1
0.5423,27,32,2017-10-19T23:00:00Z,2017020102,R,1,1,2,0,CGY,0,1.0,2,0,1,6,0.1666,1,0,0,26,33,CAR,12,0,1
0.4029,40,27,2018-03-22T23:00:00Z,2017021136,R,1,6,7,0,NYI,0,0.4,2,3,2,4,0.5,5,0,0,41,36,TBL,14,0,1
0.5806,26,36,2017-11-24T20:00:00Z,2017020347,H,1,4,5,0,SJS,0,0.5,2,1,2,4,0.5,2,0,0,26,33,VGK,54,0,1
0.5,31,31,2018-02-06T00:00:00Z,2017020809,R,1,4,5,0,NYI,0,0.75,2,1,0,3,0.0,4,0,0,28,47,NSH,18,0,1
0.6153,20,32,2018-01-21T00:00:00Z,2017020712,R,1,1,4,0,MTL,0,1.0,2,0,0,3,0.0,1,0,0,25,31,BOS,6,0,1
0.4,33,22,2018-03-11T22:00:00Z,2017021062,H,1,0,1,0,VAN,0,1.0,2,0,1,2,0.5,1,0,0,27,24,ARI,53,0,1
0.4328,38,29,2017-10-28T23:00:00Z,2017020159,R,1,1,4,0,TBL,0,1.0,2,0,2,2,1.0,4,0,0,32,21,ANA,24,0,1
